Asset,Description,Status,Asset Type,Asset Group,Year,Manufacturer,Model,VIN
30849-20,30849-20|TRUCK POOL RAM CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2020,RAM,1500 PROMASTER,3C6TRVNG1LE110595
32856-05,32856-05|TRUCK POOL GMC PICKUP,ACTIVE,FLEET,TRUCK POOL,2005,GMC,TC15903,1GTEC14X15Z277804
30883-10,30883-10|TRUCK POOL FORD F550 TRUCK,ACTIVE,FLEET,TRUCK POOL,2010,FORD,F550,1FDAF5GY2AEA77464
32860-01,32860-01|TRUCK POOL INTERNATIONAL BUCKET TRUCK,ACTIVE,FLEET,TRUCK POOL,2001,INTERNATIONAL,4900,1HTSDAAL21H392416
32226-08,32226-08|TRUCK POOL FORD STEP VAN,ACTIVE,FLEET,TRUCK POOL,2008,FORD,E350,1FCKE39L28DA90779
30816-10,30816-10|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2010,FORD,F150,1FTNF1CV4AKE21324
30861-07,30861-07|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2007,FORD,F150,1FTPF12V17NA65979
32914-06,32914-06|TRUCK POOL FORD VAN/FULL SIZE CARGO,ACTIVE,FLEET,TRUCK POOL,2006,FORD,E150,1FTRE14W36DB06618
30869-19,30869-19|TRUCK POOL FORD TRANSIT 150 VAN,ACTIVE,FLEET,TRUCK POOL,2019,FORD,TRANSIT,1FTYE1YM5KKA02237
32863-18,32863-18|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2018,FORD,F250,1FD7X2A64JEB41629
30832-15,30832-15|TRUCK POOL CHEVROLET CITY EXPRESS CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2015,CHEVROLET,CITY EXPRESS,3N63M0YN5FK716425
30831-16,30831-16|TRUCK POOL FORD TRANSIT CONNECT XL CARGO VAN,ACTIVE,FLEET,TRUCK POOL,2016,FORD,TRANSIT,NMOLS7E74G1251112
32898-17,32898-17|TRUCK POOL FORD PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2017,FORD,F350,1FT8W3BT9HED80318
33833-15,33833-15|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2015,FORD,TRANSIT,1FTNE1YM8FKB29329
32841-16,32841-16|TRUCK POOL FORD VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2016,FORD,TRANSIT,1FTYE1YM6GKA21130
34258-14,34258-14|TRUCK POOL TENNANT SWEEPER,ACTIVE,FLEET,TRUCK POOL,2014,TENNANT,S30,S306361
30853-14,30853-14|TRUCK POOL CHEVROLET VAN/CARGO,ACTIVE,FLEET,TRUCK POOL,2014,CHEVROLET,EXPRESS,1GCZGTCGXE1206392
32911-02,32911-02|TRUCK POOL GMC SONOMA PICKUP TRUCK,ACTIVE,FLEET,TRUCK POOL,2002,GMC,SONOMA,1GTCS195728244325
